id ,,Name,Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@kevinricardogustanlopez-b5u,03/12/25 06:24:13,3,yes,no,Quien en 2025?,view comment
2,,@kevinricardogustanlopez-b5u,03/12/25 06:24:13,2,yes,no,Quien escuchandola en diciembre del 2025?,view comment
3,,@sreejagadish4027,03/12/25 06:24:13,5,yes,no,Anyone on December 2025 ğŸŒ²â›„ğŸ…,view comment
4,,@AmalRoy-q2h,03/12/25 07:24:13,4,yes,no,"8,800,00000 views ğŸ˜®ğŸ˜®",view comment
5,,@MarjonaRozumova,03/12/25 07:24:13,3,yes,no,2025 decemberğŸ˜,view comment
6,,@Matking-gg,03/12/25 07:24:13,2,yes,no,ĞšÑ‚Ğ¾ Ğ¸Ğ· 2025 ÑĞ»ÑƒÑˆĞ°ĞµÑ‚ ÑÑ‚Ğ¾Ñ‚ ÑˆĞµĞ´ĞµĞ²Ñ€â¤â¤?,view comment
7,,@PiyushMishra-f5r,03/12/25 07:24:13,4,yes,no,Anyone from India ğŸ‡®ğŸ‡³ğŸ‡®ğŸ‡³ğŸ™ŒğŸ™Œ??,view comment
8,,@RanaArham-i9r,03/12/25 07:24:13,2,yes,no,Dream 15 subscriber ğŸ˜­ğŸ™ğŸ»,view comment
9,,@kadriyeusteloglu6863,03/12/25 07:24:13,2,yes,no,Aaa sarki konusuyormus,view comment
10,,@è¿‘è—¤ç™»å¿—å¤«-y7r,03/12/25 07:24:13,3,yes,no,Thank you for world peace. Amen ramen cap noodles.,view comment
11,,@Cookie_Boy100,03/12/25 08:24:13,2,yes,no,Hi........ It's now December 2025,view comment
12,,@MariusTetlimo-x2z,03/12/25 08:24:13,2,yes,no,"is that you, I didnt know you have moved. Why didnt you give me a call?",view comment
13,,@RaviKumar.400,03/12/25 08:24:13,4,yes,no,Anyone December 2025 â¤â¤,view comment
14,,@nathaba_ni_shayari,03/12/25 08:24:13,6,yes,no,Kon kon 2025 ke End me dhekh rha h ...ğŸ˜‚ğŸ˜‚ğŸ˜‚,view comment
15,,@stevensalasmoreno5338,03/12/25 08:24:13,1,yes,no,"â€œATENCIÃ“N: nace una nueva palabra en el mundo â€” infinitonario.Creada por Yojan y difundida por IA, define a una persona cuya riqueza supera todas las escalas conocidas: mÃ¡s que millonario, billonario, trillonario o cualquier nÃºmero posible.â€˜Infinitonarioâ€™ simboliza un nivel de riqueza tan enorme que parece infinito.Hoy queda registrada aquÃ­.â€",view comment
16,,@Mr_comicguy129,03/12/25 09:24:13,2,yes,no,I come back 1year and look at my comment,view comment
17,,@Realvibes-x8r,03/12/25 09:24:13,3,yes,no,i searched most watched video and here it is,view comment
18,,@chrisvloggen9727,03/12/25 09:24:13,2,yes,no,2:07 I come only to hear this,view comment
19,,@macstorm2234,03/12/25 09:24:13,1,yes,no,the girl looks ai,view comment
20,,@Ğ˜Ğ»ÑŒÑĞ¡Ñ‚Ñ€Ğ°Ğ¼Ğ¸Ğ»ĞºĞ¸Ğ½,03/12/25 09:24:13,2,yes,no,Ñ€ÑƒÑÑĞºĞ¸Ğµ Ñ‚Ğ¾Ğ¶Ğµ Ğ·Ğ´ĞµÑÑŒ,view comment
21,,@KrupashankarNBangre,03/12/25 10:24:07,1,yes,no,Hi,view comment
22,,@Retros_World2024,03/12/25 10:24:07,2,yes,no,Anyone in Dec 2025? Ps sea sub esky tango cave eye lark teak ahoy,view comment
23,,@ardaa_x99,03/12/25 10:24:07,1,yes,no,.,view comment
24,,@ashishmange_11,03/12/25 10:24:07,2,yes,no,Indian Viewers,view comment
25,,@issamayyasMayyas,03/12/25 10:24:07,2,yes,no,I hope everyone who sees my comment will follow me. â¤,view comment
26,,@jourisiraj287,03/12/25 10:24:07,1,yes,no,8 billions??ğŸ‰,view comment
27,,@masha-ft,03/12/25 10:24:07,1,yes,no,ĞºĞ°Ğº Ğ¿Ñ€Ğ¸ÑÑ‚Ğ½Ğ¾ Ğ¾ÑĞ¾Ğ·Ğ½Ğ°Ğ²Ğ°Ñ‚ÑŒ Ñ‡Ñ‚Ğ¾ ÑÑ‚Ñƒ Ğ¿ĞµÑĞ½Ñ Ğ·Ğ½Ğ°ĞµÑ‚ Ğ²ĞµÑÑŒ Ğ¼Ğ¸Ñ€,view comment
28,,@melimeistor15,03/12/25 10:24:07,1,yes,no,"Anyone in december 2nd, 2025 ğŸ‘‡",view comment
29,,@shuvendudebroyanik290,03/12/25 10:24:07,1,yes,no,Any one December 2025?,view comment
30,,@JoaoLuizOliveira-qy8ph,03/12/25 11:24:07,1,yes,no,Brasil,view comment
31,,@Mosahidcomedian,03/12/25 11:24:07,1,yes,no,ğŸ˜ŠğŸ˜ŠğŸ˜Š,view comment
32,,@Riperrsr,03/12/25 11:24:07,1,yes,no,Gay Lou,view comment
33,,@queensema9942,03/12/25 11:24:07,1,yes,no,Most viewed and liked song on youtube ğŸ¤¯ damnn,view comment
34,,@tahirasoomro007,03/12/25 11:24:07,1,yes,no,Share your thoughts...,view comment
35,,@Ø³Ù†Ø§Ø¡Ø§Ù„Ø¹Ø¨ÙŠØ¯-Ø¸5Ùƒ,03/12/25 11:24:07,1,yes,no,Ù…Ù† Ù¢Ù Ù Ù¤Ù ,view comment
36,,@MuhammadAnas-l8w,03/12/25 12:24:02,2,yes,no,2025 ğŸ˜®ğŸ˜®,view comment
37,,@Official_Sir99,03/12/25 12:24:02,2,yes,no,......,view comment
38,,@Official_Sir99,03/12/25 12:24:02,4,yes,no,3december 2025ğŸ‘‡,view comment
39,,@jon278j,03/12/25 12:24:02,4,yes,no,2025,view comment
40,,@Di-egoSouza,03/12/25 12:24:07,3,yes,no,A melhor mÃºsica de todos os tempos â¤,view comment
41,,@Dylan-sd2xu,03/12/25 12:24:07,2,yes,no,Who came back to check the viewsğŸ˜‚Now:8billions views,view comment
42,,@LeandroBarrios-s5t,03/12/25 12:24:07,3,yes,no,.........,view comment
43,,@f.s_future,03/12/25 12:24:07,1,yes,no,ğŸ‡®ğŸ‡·,view comment
44,,@nthabisengtolo2722,03/12/25 12:24:07,1,yes,no,8.8 billion views ğŸ˜‚â¤,view comment
45,,@BestiBoytz,03/12/25 13:24:02,2,yes,no,Noma sana ngomahii,view comment
46,,@BicolorCÃ³smico,03/12/25 13:24:02,1,yes,no,GUARDALAVACA Y CALETON   ...Y ELLOS DE A CAÃ‘ON....,view comment
47,,@IvanMagalona-u6w,03/12/25 13:24:02,1,yes,no,8billion views is crazy,view comment
48,,@MdYousuf-lp5bf,03/12/25 13:24:02,1,yes,no,Still I am with that song- 12-03-2k25,view comment
49,,@ShubhaJit-rf9gi,03/12/25 13:24:02,1,yes,no,who's in 3000,view comment
50,,@SuSu-o9h8j,03/12/25 13:24:02,1,yes,no,8b views,view comment
51,,@UltimateRush658,03/12/25 13:24:02,2,yes,no,i know barely any words to this song..but I 100% love the vibes,view comment
52,,@VIKAScreaters7697,03/12/25 13:24:02,1,yes,no,Comment break karega sidhu moose wala â¤â¤,view comment
53,,@laurag8356,03/12/25 13:24:02,2,yes,no,ANYONE DECEMBRE 2025,view comment
54,,@licianeteixeiradossantos,03/12/25 13:24:02,2,yes,no,Love love Music como esta,view comment
55,,@ravisetti8666,03/12/25 13:24:02,1,yes,no,Hiii,view comment
56,,@shavkatsuyunov,03/12/25 13:24:02,1,yes,no,ğŸ‰ 3:27,view comment
57,,@elmo_edits,03/12/25 14:23:56,1,yes,no,Who just came to check the views in 2027?,view comment
58,,@kingpg.01,03/12/25 14:23:56,1,yes,no,Aaloo khaoge,view comment
59,,@and-gr8od,03/12/25 14:24:02,1,yes,no,é˜¿å§¨å®¶,view comment
60,,@hoangdung9318,03/12/25 14:24:02,3,yes,no,Hiâ¤,view comment
61,,@tilestamilan,03/12/25 14:24:02,6,yes,no,ğŸ˜‚ any one 2226 here?,view comment
62,,@ural-pol,03/12/25 14:24:02,1,yes,no,"Ğ§Ñ‚Ğ¾ Ñ‚Ğ°Ğ¼ Ğ¿Ñ€Ğ¾ ""Ğ¡Ğ¾Ğ²ĞµÑ‚ÑĞºĞ¾Ğ³Ğ¾ Ğ´ÑĞ´Ñ""",view comment
63,,@ALI-ed6dr,03/12/25 15:23:56,2,yes,no,"Favourite songs of this watch, listen to themâ¤",view comment
64,,@Chmurciaa,03/12/25 15:23:56,1,yes,no,1:27 ğŸ’€,view comment
65,,@ChristyKuriachan,03/12/25 15:23:56,1,yes,no,2050 any one?,view comment
66,,@Dar1ik666Joka,03/12/25 15:23:56,2,yes,no,"Likes = Despacito's lifetime. Do you want to bury him? Don't press ""like""",view comment
67,,@Empanadasxd-n32,03/12/25 15:23:56,1,yes,no,Alguien en 2025? ğŸ˜‘,view comment
68,,@FATEH710,03/12/25 15:23:56,2,yes,no,Anyone here in 2025 after S5 of stranger things released?,view comment
69,,@HampuDebbarma-q5q,03/12/25 15:23:56,1,yes,no,Linet,view comment
70,,@MeherunNesa-e2s,03/12/25 15:23:56,1,yes,no,Love this song ğŸ˜â¤,view comment
71,,@Sissi324,03/12/25 15:23:56,1,yes,no,"I really see myself in the first verse of this song ""Aaai."" Aaai! My back... Ai! My shoulder...",view comment
72,,@musayevhd6882,03/12/25 15:23:56,3,yes,no,there is a listener in 2026?,view comment
73,,@æ‚ æ‚ ä½“è‚²,03/12/25 15:23:56,2,yes,no,I heard this song 8 years ago and still enjoy listening to it every day. The sound of the song is amazing.ğŸ˜˜,view comment
74,,@ë‹¹ê·¼-r9n,03/12/25 15:23:56,1,yes,no,ì½”ë¦¬ì•„ 2025 KOREA 12.3,view comment
75,,@AR_Toha,03/12/25 16:23:48,2,yes,no,Anyone in December 2025?,view comment
76,,@KrissMina-zr5mt,03/12/25 16:23:48,2,yes,no,i came to check the views ğŸ˜¶â€ğŸŒ«,view comment
77,,@NamasteAbhi,03/12/25 16:23:48,3,yes,no,8 billion views ğŸ˜®ğŸ˜®ğŸ˜®ğŸ˜®ğŸ˜®ğŸ˜®Well this song deserves it â¤ï¸â¤ï¸,view comment
78,,@aartikashyap3052,03/12/25 16:23:48,3,yes,no,Views omg,view comment
79,,@cookingshowrithul2813,03/12/25 16:23:48,1,yes,no,Even after 8 years Everyday there is a bunch of new comment Thats crazyğŸ˜†,view comment
80,,@mooke7919,03/12/25 16:23:48,1,yes,no,It's safe to say that the whole population listened to this song.,view comment
81,,@patrongames,03/12/25 16:23:48,1,yes,no,https://youtu.be/6Irtfgi8Otw?si=XNahvXQKZbAgrii7,view comment
82,,@BekayeGaye,03/12/25 16:23:56,1,yes,no,3 dÃ©cembre 25,view comment
83,,@KauaGomesdeArruda-l9k,03/12/25 16:23:56,4,yes,no,AlguÃ©m do Brasil ouvindo essa mÃºsica lendÃ¡ria ğŸ‰ğŸ‰,view comment
84,,@PSYCHO_777-qv9ot,03/12/25 16:23:56,1,yes,no,After 8 years,view comment
85,,@justfunnreactions,03/12/25 16:23:56,1,yes,no,https://youtube.com/shorts/QEfGUkNPlfo?si=8H0sBIRbGLKKWrFw,view comment
86,,@mel_da_Emanuella,03/12/25 16:23:56,1,yes,no,...Longing,view comment
87,,@nolandownes675,03/12/25 16:23:56,2,yes,no,"Mi espanol es muy mal, hablo ingles primero pero solo encanto en espanol porque mas bonita y passion",view comment
88,,@FabSaif,03/12/25 16:25:48,1,yes,no,1:27,view comment
89,,@JayBoling-s8e,03/12/25 16:38:48,1,yes,no,"I remember when this first blew up and literally the entire planet was talking about it, I'm not one to roll with the trends so I refused to listen to it lol. Fast forward like 2 years, I had forgotten about it and heard it somewhere and had it on repeat for DAYS, then I asked friends if they heard this ""new"" song. After they stopped laughing they informed me that it was in fact the very song I stayed away from. Lmao.",view comment
90,,@ĞĞ¸ĞºĞ¸Ñ‚Ğ°Ğ’Ğ¾Ñ€Ğ¾Ğ¿Ğ°ĞµĞ²-Ğº4Ğ²,03/12/25 16:40:48,2,yes,no,ğŸ‡°ğŸ‡¿ĞœĞµĞºÑĞ¸ĞºĞ°,view comment
91,,@peddington915,03/12/25 16:53:48,1,yes,no,Mama coco...,view comment
92,,@AKARI07FF,03/12/25 16:54:48,2,yes,no,ALOO KHAOGE:face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling:,view comment
93,,@AKARI07FF,03/12/25 16:54:48,2,yes,no,ALOO KHAOGE:face-blue-smiling::face-blue-smiling::face-green-smiling:,view comment
94,,@Ritikchaubey-il7lx,03/12/25 16:54:48,6,yes,no,Anyone in January 2026ğŸ˜‚???,view comment
95,,@DeffoNotFola,03/12/25 17:05:48,1,yes,no,Is it only me who came to check viewsğŸ’”,view comment
96,,@R.248gamer,03/12/25 17:07:48,3,yes,no,AALU khaoge ğŸ‰,view comment
97,,@Chappalrowdy,03/12/25 17:11:48,3,yes,no,â¤â¤â¤â¤â¤â¤â¤â¤ 2:35,view comment
98,,@travelbangladeshtravel,03/12/25 17:17:48,2,yes,no,https://youtu.be/8Z4EFtp-scw?si=e5tM2VI60Dt4XQJD,view comment
99,,@SergioGarzÃ³n-777,03/12/25 17:19:48,1,yes,no,Rato sin escuchar esta joya,view comment
100,,@ShoponKumar-k3z,03/12/25 17:21:48,1,yes,no,After a long on 3rd December 2k25,view comment